Award,Year,Winning,Name,Film
Art Direction,1932/1933,won,Cavalcade ,William S. Darling
Art Direction,1932/1933,nominated,A Farewell to Arms ,"Hans Dreier, Roland Anderson [Second]"
Art Direction,1932/1933,nominated,When Ladies Meet ,Cedric Gibbons [Third]
Assistant Director,1932/1933,nominated,Percy Ikerd (Fox),
Assistant Director,1932/1933,won,William Tummel (Fox),
Assistant Director,1932/1933,won,Charles Dorian (Metro-Goldwyn-Mayer),
Assistant Director,1932/1933,nominated,Bunny Dull (Metro-Goldwyn-Mayer),
Assistant Director,1932/1933,nominated,John S. Waters (Metro-Goldwyn-Mayer),
Assistant Director,1932/1933,won,Charles Barton (Paramount),
Assistant Director,1932/1933,nominated,Sidney S. Brod (Paramount),
Assistant Director,1932/1933,nominated,Arthur Jacobson (Paramount),
Assistant Director,1932/1933,nominated,Eddie Killey (RKO Radio),
Assistant Director,1932/1933,won,Dewey Starkey (RKO Radio),
Assistant Director,1932/1933,won,Fred Fox (United Artists),
Assistant Director,1932/1933,nominated,Benjamin Silvey (United Artists),
Assistant Director,1932/1933,won,Scott Beal (Universal),
Assistant Director,1932/1933,nominated,Joe McDonough (Universal),
Assistant Director,1932/1933,nominated,W. J. Reiter (Universal),
Assistant Director,1932/1933,nominated,Al Alborn (Warner Brothers),
Assistant Director,1932/1933,won,Gordon Hollingshead (Warner Brothers),
Assistant Director,1932/1933,nominated,Frank X. Shaw (Warner Brothers),
Cinematography,1932/1933,won,A Farewell to Arms ,"Charles Bryant Lang, Jr."
Cinematography,1932/1933,nominated,Reunion in Vienna ,George J. Folsey [Second]
Cinematography,1932/1933,nominated,The Sign of the Cross ,Karl Struss [Third]
Directing,1932/1933,won,Cavalcade ,Frank Lloyd
Directing,1932/1933,nominated,Lady for a Day ,Frank Capra [Second]
Directing,1932/1933,nominated,Little Women ,George Cukor [Third]
Outstanding Production,1932/1933,won,Cavalcade ,Fox
Outstanding Production,1932/1933,nominated,A Farewell to Arms ,Paramount [Second]
Outstanding Production,1932/1933,nominated,42nd Street ,Warner Brothers
Outstanding Production,1932/1933,nominated,I Am a Fugitive from a Chain Gang ,Warner Brothers
Outstanding Production,1932/1933,nominated,Lady for a Day ,Columbia
Outstanding Production,1932/1933,nominated,Little Women ,RKO Radio [Third]
Outstanding Production,1932/1933,nominated,The Private Life of Henry VIII ,London Films
Outstanding Production,1932/1933,nominated,She Done Him Wrong ,Paramount
Outstanding Production,1932/1933,nominated,Smilin' Through ,Metro-Goldwyn-Mayer
Outstanding Production,1932/1933,nominated,State Fair ,Fox
Short Subject (Cartoon),1932/1933,nominated,Building a Building ,"Walt Disney, Producer [Second]"
Short Subject (Cartoon),1932/1933,nominated,The Merry Old Soul ,"Walter Lantz, Producer [Third]"
Short Subject (Cartoon),1932/1933,won,The Three Little Pigs ,"Walt Disney, Producer"
Short Subject (Comedy),1932/1933,nominated,Mister Mugg ,"Warren Doane, Producer [Third]"
Short Subject (Comedy),1932/1933,nominated,A Preferred List ,"Louis Brock, Producer [Second]"
Short Subject (Comedy),1932/1933,won,So This Is Harris ,"Louis Brock, Producer"
Short Subject (Novelty),1932/1933,won,Krakatoa ,"Joe Rock, Producer"
Short Subject (Novelty),1932/1933,nominated,Menu ,"Pete Smith, Producer [tied for 2nd]"
Short Subject (Novelty),1932/1933,nominated,The Sea ,Educational [tied for 2nd]
Sound Recording,1932/1933,won,A Farewell to Arms ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
Sound Recording,1932/1933,nominated,42nd Street ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
Sound Recording,1932/1933,nominated,Gold Diggers of 1933 ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]"
Sound Recording,1932/1933,nominated,I Am a Fugitive from a Chain Gang ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]"
Writing (Adaptation),1932/1933,nominated,Lady for a Day ,Robert Riskin [Second]
Writing (Adaptation),1932/1933,won,Little Women ,"Victor Heerman, Sarah Y. Mason"
Writing (Adaptation),1932/1933,nominated,State Fair ,"Paul Green, Sonya Levien [Third]"
Writing (Original Story),1932/1933,won,One Way Passage ,Robert Lord
Writing (Original Story),1932/1933,nominated,The Prizefighter and the Lady ,Frances Marion [Second]
Writing (Original Story),1932/1933,nominated,Rasputin and the Empress ,Charles MacArthur [Third]
Actor,1934,won,Clark Gable,It Happened One Night
Actor,1934,nominated,Frank Morgan,The Affairs of Cellini
Actor,1934,nominated,William Powell,The Thin Man
Actress,1934,won,Claudette Colbert,It Happened One Night
Actress,1934,nominated,Bette Davis,Of Human Bondage
Actress,1934,nominated,Grace Moore,One Night of Love
Actress,1934,nominated,Norma Shearer,The Barretts of Wimpole Street
Art Direction,1934,nominated,The Affairs of Cellini ,Richard Day [Third]
Art Direction,1934,nominated,The Gay Divorcee ,"Van Nest Polglase, Carroll Clark [Second]"
Art Direction,1934,won,The Merry Widow ,"Cedric Gibbons, Fredric Hope"
Assistant Director,1934,nominated,Cleopatra ,Cullen Tate [Second]
Assistant Director,1934,nominated,Imitation of Life ,Scott Beal [Third]
Assistant Director,1934,won,Viva Villa! ,John Waters
Cinematography,1934,nominated,The Affairs of Cellini ,Charles Rosher [Third]
Cinematography,1934,won,Cleopatra ,Victor Milner
Cinematography,1934,nominated,Operator 13 ,George Folsey [Second]
Directing,1934,won,It Happened One Night ,Frank Capra
Directing,1934,nominated,One Night of Love ,Victor Schertzinger [Third]
