Award,Year,Winning,Name,Film
Music (Song),1935,nominated,"""Cheek To Cheek"" from Top Hat",Music and Lyrics by Irving Berlin [Second]
Music (Song),1935,nominated,"""Lovely To Look At"" from Roberta",Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh [Third]
Music (Song),1935,won,"""Lullaby Of Broadway"" from Gold Diggers of 1935",Music by Harry Warren; Lyrics by Al Dubin
Outstanding Production,1935,nominated,Alice Adams ,RKO Radio
Outstanding Production,1935,nominated,Broadway Melody of 1936 ,Metro-Goldwyn-Mayer
Outstanding Production,1935,nominated,Captain Blood ,Cosmopolitan [Third]
Outstanding Production,1935,nominated,David Copperfield ,Metro-Goldwyn-Mayer
Outstanding Production,1935,nominated,The Informer ,RKO Radio [Second]
Outstanding Production,1935,nominated,Les Miserables ,20th Century
Outstanding Production,1935,nominated,The Lives of a Bengal Lancer ,Paramount
Outstanding Production,1935,nominated,A Midsummer Night's Dream ,Warner Brothers
Outstanding Production,1935,won,Mutiny on the Bounty ,Metro-Goldwyn-Mayer
Outstanding Production,1935,nominated,Naughty Marietta ,Metro-Goldwyn-Mayer
Outstanding Production,1935,nominated,Ruggles of Red Gap ,Paramount
Outstanding Production,1935,nominated,Top Hat ,RKO Radio
Short Subject (Cartoon),1935,nominated,The Calico Dragon ,Harman-Ising [Third]
Short Subject (Cartoon),1935,won,Three Orphan Kittens ,"Walt Disney, Producer"
Short Subject (Cartoon),1935,nominated,Who Killed Cock Robin? ,"Walt Disney, Producer [Second]"
Short Subject (Comedy),1935,won,How to Sleep ,"Jack Chertok, Producer"
Short Subject (Comedy),1935,nominated,"Oh, My Nerves ","Jules White, Producer [Second]"
Short Subject (Comedy),1935,nominated,Tit for Tat ,"Hal Roach, Producer [Third]"
Short Subject (Novelty),1935,nominated,Audioscopiks ,"Pete Smith, Producer [tied for 2nd]"
Short Subject (Novelty),1935,nominated,Camera Thrills ,Universal [tied for 2nd]
Short Subject (Novelty),1935,won,Wings over Mt. Everest ,Gaumont British and Skibo Productions
Sound Recording,1935,nominated,Bride of Frankenstein ,"Universal Studio Sound Department, Gilbert Kurland, Sound Director"
Sound Recording,1935,nominated,Captain Blood ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
Sound Recording,1935,nominated,The Dark Angel ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
Sound Recording,1935,nominated,I Dream Too Much ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director"
Sound Recording,1935,nominated,The Lives of a Bengal Lancer ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director [Third]"
Sound Recording,1935,nominated,Love Me Forever ,"Columbia Studio Sound Department, John Livadary, Sound Director"
Sound Recording,1935,won,Naughty Marietta ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
Sound Recording,1935,nominated,"$1,000 a Minute ",Republic Studio Sound Department
Sound Recording,1935,nominated,Thanks a Million ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
Writing (Original Story),1935,nominated,Broadway Melody of 1936 ,Moss Hart [Third]
Writing (Original Story),1935,nominated,G-Men ,Gregory Rogers [Second]
Writing (Original Story),1935,nominated,The Gay Deception ,"Don Hartman, Stephen Avery"
Writing (Original Story),1935,won,The Scoundrel ,"Ben Hecht, Charles MacArthur"
Writing (Screenplay),1935,nominated,Captain Blood ,Casey Robinson [Third]
Writing (Screenplay),1935,won,The Informer ,Dudley Nichols
Writing (Screenplay),1935,nominated,The Lives of a Bengal Lancer ,"Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah; Adaptation by Grover Jones, William Slavens McNutt"
Writing (Screenplay),1935,nominated,Mutiny on the Bounty ,"Talbot Jennings, Jules Furthman, Carey Wilson [Second]"
Special Award,1935,won,David Wark Griffith,
Actor,1936,nominated,Gary Cooper,Mr. Deeds Goes to Town
Actor,1936,nominated,Walter Huston,Dodsworth
Actor,1936,won,Paul Muni,The Story of Louis Pasteur
Actor,1936,nominated,William Powell,My Man Godfrey
Actor,1936,nominated,Spencer Tracy,San Francisco
Actor in a Supporting Role,1936,nominated,Mischa Auer,My Man Godfrey
Actor in a Supporting Role,1936,won,Walter Brennan,Come and Get It
Actor in a Supporting Role,1936,nominated,Stuart Erwin,Pigskin Parade
Actor in a Supporting Role,1936,nominated,Basil Rathbone,Romeo and Juliet
Actor in a Supporting Role,1936,nominated,Akim Tamiroff,The General Died at Dawn
Actress,1936,nominated,Irene Dunne,Theodora Goes Wild
Actress,1936,nominated,Gladys George,Valiant Is the Word for Carrie
Actress,1936,nominated,Carole Lombard,My Man Godfrey
Actress,1936,won,Luise Rainer,The Great Ziegfeld
Actress,1936,nominated,Norma Shearer,Romeo and Juliet
Actress in a Supporting Role,1936,nominated,Beulah Bondi,The Gorgeous Hussy
Actress in a Supporting Role,1936,nominated,Alice Brady,My Man Godfrey
Actress in a Supporting Role,1936,nominated,Bonita Granville,These Three
Actress in a Supporting Role,1936,nominated,Maria Ouspenskaya,Dodsworth
Actress in a Supporting Role,1936,won,Gale Sondergaard,Anthony Adverse
Art Direction,1936,nominated,Anthony Adverse ,Anton Grot
Art Direction,1936,won,Dodsworth ,Richard Day
Art Direction,1936,nominated,The Great Ziegfeld ,"Cedric Gibbons, Eddie Imazu, Edwin B. Willis"
Art Direction,1936,nominated,Lloyds of London ,William S. Darling
Art Direction,1936,nominated,The Magnificent Brute ,"Albert S. D'Agostino, Jack Otterson"
Art Direction,1936,nominated,Romeo and Juliet ,"Cedric Gibbons, Fredric Hope, Edwin B. Willis"
Art Direction,1936,nominated,Winterset ,Perry Ferguson
Assistant Director,1936,nominated,Anthony Adverse ,William Cannon
Assistant Director,1936,won,The Charge of the Light Brigade ,Jack Sullivan
Assistant Director,1936,nominated,The Garden of Allah ,Eric G. Stacey
Assistant Director,1936,nominated,The Last of the Mohicans ,Clem Beauchamp
Assistant Director,1936,nominated,San Francisco ,Joseph Newman
Cinematography,1936,won,Anthony Adverse ,Gaetano Gaudio
Cinematography,1936,nominated,The General Died at Dawn ,Victor Milner
Cinematography,1936,nominated,The Gorgeous Hussy ,George Folsey
Dance Direction,1936,nominated,Busby Berkeley,Love and War number from Gold Diggers of 1937
Dance Direction,1936,nominated,Bobby Connolly,1000 Love Songs number from Cain and Mabel
Dance Direction,1936,won,Seymour Felix,A Pretty Girl Is Like a Melody number from The Great Ziegfeld
Dance Direction,1936,nominated,Dave Gould,Swingin' the Jinx number from Born to Dance
Dance Direction,1936,nominated,Jack Haskell,Skating Ensemble number from One in a Million
Dance Direction,1936,nominated,Russell Lewis,The Finale number from Dancing Pirate
Dance Direction,1936,nominated,Hermes Pan,Bojangles of Harlem number from Swing Time
Directing,1936,nominated,Dodsworth ,William Wyler
Directing,1936,nominated,The Great Ziegfeld ,Robert Z. Leonard
Directing,1936,won,Mr. Deeds Goes to Town ,Frank Capra
Directing,1936,nominated,My Man Godfrey ,Gregory La Cava
Directing,1936,nominated,San Francisco ,W. S. Van Dyke
Film Editing,1936,won,Anthony Adverse ,Ralph Dawson
Film Editing,1936,nominated,Come and Get It ,Edward Curtiss
Film Editing,1936,nominated,The Great Ziegfeld ,William S. Gray
Film Editing,1936,nominated,Lloyds of London ,Barbara McLean
Film Editing,1936,nominated,A Tale of Two Cities ,Conrad A. Nervig
Film Editing,1936,nominated,Theodora Goes Wild ,Otto Meyer
Music (Scoring),1936,won,Anthony Adverse ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)"
Music (Scoring),1936,nominated,The Charge of the Light Brigade ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)"
Music (Scoring),1936,nominated,The Garden of Allah ,"Selznick International Pictures Music Department, Max Steiner, head of department  (Score by Max Steiner)"
Music (Scoring),1936,nominated,The General Died at Dawn ,"Paramount Studio Music Department, Boris Morros, head of department  (Score by Werner Janssen)"
Music (Scoring),1936,nominated,Winterset ,"RKO Radio Studio Music Department, Nathaniel Shilkret, head of department  (Score by Nathaniel Shilkret)"
Music (Song),1936,nominated,"""Did I Remember"" from Suzy",Music by Walter Donaldson; Lyrics by Harold Adamson
Music (Song),1936,nominated,"""I've Got You Under My Skin"" from Born to Dance",Music and Lyrics by Cole Porter
Music (Song),1936,nominated,"""A Melody From The Sky"" from Trail of the Lonesome Pine",Music by Louis Alter; Lyrics by Sidney Mitchell
Music (Song),1936,nominated,"""Pennies From Heaven"" from Pennies from Heaven",Music by Arthur Johnston; Lyrics by Johnny Burke
Music (Song),1936,won,"""The Way You Look Tonight"" from Swing Time",Music by Jerome Kern; Lyrics by Dorothy Fields
Music (Song),1936,nominated,"""When Did You Leave Heaven"" from Sing, Baby, Sing",Music by Richard A. Whiting; Lyrics by Walter Bullock
Outstanding Production,1936,nominated,Anthony Adverse ,Warner Brothers
Outstanding Production,1936,nominated,Dodsworth ,Samuel Goldwyn Productions
Outstanding Production,1936,won,The Great Ziegfeld ,Metro-Goldwyn-Mayer
Outstanding Production,1936,nominated,Libeled Lady ,Metro-Goldwyn-Mayer
Outstanding Production,1936,nominated,Mr. Deeds Goes to Town ,Columbia
Outstanding Production,1936,nominated,Romeo and Juliet ,Metro-Goldwyn-Mayer
Outstanding Production,1936,nominated,San Francisco ,Metro-Goldwyn-Mayer
Outstanding Production,1936,nominated,The Story of Louis Pasteur ,Cosmopolitan
Outstanding Production,1936,nominated,A Tale of Two Cities ,Metro-Goldwyn-Mayer
Outstanding Production,1936,nominated,Three Smart Girls ,Universal
Short Subject (Cartoon),1936,won,The Country Cousin ,"Walt Disney, Producer"
Short Subject (Cartoon),1936,nominated,Old Mill Pond ,Harman-Ising
Short Subject (Cartoon),1936,nominated,Sinbad the Sailor ,Paramount
Short Subject (Color),1936,won,Give Me Liberty ,Warner Brothers
Short Subject (Color),1936,nominated,La Fiesta de Santa Barbara ,"Lewis Lewyn, Producer"
Short Subject (Color),1936,nominated,Popular Science J-6-2 ,Paramount
Short Subject (One Reel),1936,won,Bored of Education ,"Hal Roach, Producer"
Short Subject (One Reel),1936,nominated,Moscow Moods ,Paramount
Short Subject (One Reel),1936,nominated,"Wanted, a Master ","Pete Smith, Producer"
Short Subject (Two Reel),1936,nominated,Double or Nothing ,Warner Brothers
Short Subject (Two Reel),1936,nominated,Dummy Ache ,RKO Radio
Short Subject (Two Reel),1936,won,The Public Pays ,Metro-Goldwyn-Mayer
Sound Recording,1936,nominated,Banjo on My Knee ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
Sound Recording,1936,nominated,The Charge of the Light Brigade ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
Sound Recording,1936,nominated,Dodsworth ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
Sound Recording,1936,nominated,General Spanky ,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director"
Sound Recording,1936,nominated,Mr. Deeds Goes to Town ,"Columbia Studio Sound Department, John Livadary, Sound Director"
Sound Recording,1936,won,San Francisco ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
Sound Recording,1936,nominated,The Texas Rangers ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
Sound Recording,1936,nominated,That Girl from Paris ,"RKO Radio Studio Sound Department, J. O. Aalberg, Sound Director"
Sound Recording,1936,nominated,Three Smart Girls ,"Universal Studio Sound Department, Homer G. Tasker, Sound Director"
Writing (Original Story),1936,nominated,Fury ,Norman Krasna
Writing (Original Story),1936,nominated,The Great Ziegfeld ,William Anthony McGuire
Writing (Original Story),1936,nominated,San Francisco ,Robert Hopkins
Writing (Original Story),1936,won,The Story of Louis Pasteur ,"Pierre Collings, Sheridan Gibney"
Writing (Original Story),1936,nominated,Three Smart Girls ,Adele Comandini
Writing (Screenplay),1936,nominated,After the Thin Man ,"Frances Goodrich, Albert Hackett"
Writing (Screenplay),1936,nominated,Dodsworth ,Sidney Howard
Writing (Screenplay),1936,nominated,Mr. Deeds Goes to Town ,Robert Riskin
Writing (Screenplay),1936,nominated,My Man Godfrey ,"Eric Hatch, Morris Ryskind"
Writing (Screenplay),1936,won,The Story of Louis Pasteur ,"Pierre Collings, Sheridan Gibney"
Special Award,1936,won,The March of Time,
Special Award,1936,won,W. Howard Greene and Harold Rosson,The Garden of Allah
Actor,1937,nominated,Charles Boyer,Conquest
Actor,1937,nominated,Fredric March,A Star Is Born
Actor,1937,nominated,Robert Montgomery,Night Must Fall
Actor,1937,nominated,Paul Muni,The Life of Emile Zola
Actor,1937,won,Spencer Tracy,Captains Courageous
Actor in a Supporting Role,1937,nominated,Ralph Bellamy,The Awful Truth
Actor in a Supporting Role,1937,nominated,Thomas Mitchell,The Hurricane
Actor in a Supporting Role,1937,won,Joseph Schildkraut,The Life of Emile Zola
Actor in a Supporting Role,1937,nominated,H. B. Warner,Lost Horizon
Actor in a Supporting Role,1937,nominated,Roland Young,Topper
Actress,1937,nominated,Irene Dunne,The Awful Truth
Actress,1937,nominated,Greta Garbo,Camille
Actress,1937,nominated,Janet Gaynor,A Star Is Born
Actress,1937,won,Luise Rainer,The Good Earth
Actress,1937,nominated,Barbara Stanwyck,Stella Dallas
Actress in a Supporting Role,1937,won,Alice Brady,In Old Chicago
Actress in a Supporting Role,1937,nominated,Andrea Leeds,Stage Door
Actress in a Supporting Role,1937,nominated,Anne Shirley,Stella Dallas
Actress in a Supporting Role,1937,nominated,Claire Trevor,Dead End
Actress in a Supporting Role,1937,nominated,Dame May Whitty,Night Must Fall
Art Direction,1937,nominated,Conquest ,"Cedric Gibbons, William Horning"
Art Direction,1937,nominated,A Damsel in Distress ,Carroll Clark
Art Direction,1937,nominated,Dead End ,Richard Day
Art Direction,1937,nominated,Every Day's a Holiday ,Wiard Ihnen
Art Direction,1937,nominated,The Life of Emile Zola ,Anton Grot
Art Direction,1937,won,Lost Horizon ,Stephen Goosson
Art Direction,1937,nominated,Manhattan Merry-Go-Round ,John Victor Mackay
Art Direction,1937,nominated,The Prisoner of Zenda ,Lyle Wheeler
Art Direction,1937,nominated,Souls at Sea ,"Hans Dreier, Roland Anderson"
Art Direction,1937,nominated,Walter Wanger's Vogues of 1938 ,Alexander Toluboff
Art Direction,1937,nominated,Wee Willie Winkie ,"William S. Darling, David Hall"
Art Direction,1937,nominated,You're a Sweetheart ,Jack Otterson
Assistant Director,1937,won,In Old Chicago ,Robert Webb
Assistant Director,1937,nominated,The Life of Emile Zola ,Russ Saunders
Assistant Director,1937,nominated,Lost Horizon ,"C. C. Coleman, Jr."
Assistant Director,1937,nominated,Souls at Sea ,Hal Walker
Assistant Director,1937,nominated,A Star Is Born ,Eric Stacey
Cinematography,1937,nominated,Dead End ,Gregg Toland
Cinematography,1937,won,The Good Earth ,Karl Freund
Cinematography,1937,nominated,Wings over Honolulu ,Joseph Valentine
Dance Direction,1937,nominated,Busby Berkeley,The Finale number from Varsity Show
Dance Direction,1937,nominated,Bobby Connolly,"Too Marvelous for Words number from Ready, Willing and Able"
Dance Direction,1937,nominated,Dave Gould,All God's Children Got Rhythm number from A Day at the Races
Dance Direction,1937,nominated,Sammy Lee,Swing Is Here to Stay number from Ali Baba Goes to Town
Dance Direction,1937,nominated,Harry Losee,Prince Igor Suite number from Thin Ice
Dance Direction,1937,won,Hermes Pan,Fun House number from A Damsel in Distress
Dance Direction,1937,nominated,LeRoy Prinz,Luau number from Waikiki Wedding
Directing,1937,won,The Awful Truth ,Leo McCarey
Directing,1937,nominated,The Good Earth ,Sidney Franklin
Directing,1937,nominated,The Life of Emile Zola ,William Dieterle
Directing,1937,nominated,Stage Door ,Gregory La Cava
Directing,1937,nominated,A Star Is Born ,William Wellman
Film Editing,1937,nominated,The Awful Truth ,Al Clark
Film Editing,1937,nominated,Captains Courageous ,Elmo Veron
Film Editing,1937,nominated,The Good Earth ,Basil Wrangell
Film Editing,1937,won,Lost Horizon ,"Gene Havlick, Gene Milford"
Film Editing,1937,nominated,One Hundred Men and a Girl ,Bernard W. Burton
Music (Scoring),1937,nominated,The Hurricane ,"Samuel Goldwyn Studio Music Department, Alfred Newman, head of department  (Score by Alfred Newman)"
Music (Scoring),1937,nominated,In Old Chicago ,"20th Century-Fox Studio Music Department, Louis Silvers, head of department  (no composer credit)"
Music (Scoring),1937,nominated,The Life of Emile Zola ,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)"
Music (Scoring),1937,nominated,Lost Horizon ,"Columbia Studio Music Department, Morris Stoloff, head of department  (Score by Dimitri Tiomkin)"
Music (Scoring),1937,nominated,Make a Wish ,"Principal Productions, Dr. Hugo Riesenfeld, musical director  (Score by Dr. Hugo Riesenfeld)"
Music (Scoring),1937,nominated,Maytime ,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)"
Music (Scoring),1937,won,One Hundred Men and a Girl ,"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)"
Music (Scoring),1937,nominated,Portia on Trial ,"Republic Studio Music Department, Alberto Colombo, head of department  (Score by Alberto Colombo)"
