Year,Award,Winning,Name,Film
2007,Documentary (Feature),won,Taxi to the Dark Side ,Alex Gibney and Eva Orner
2007,Documentary (Feature),nominated,War/Dance ,Andrea Nix Fine and Sean Fine
2007,Documentary (Short Subject),won,Freeheld ,Cynthia Wade and Vanessa Roth
2007,Documentary (Short Subject),nominated,La Corona (The Crown) ,Amanda Micheli and Isabel Vega
2007,Documentary (Short Subject),nominated,Salim Baba ,Tim Sternberg and Francisco Bello
2007,Documentary (Short Subject),nominated,Sari's Mother ,James Longley
2007,Film Editing,won,The Bourne Ultimatum ,Christopher Rouse
2007,Film Editing,nominated,The Diving Bell and the Butterfly ,Juliette Welfling
2007,Film Editing,nominated,Into the Wild ,Jay Cassidy
2007,Film Editing,nominated,No Country for Old Men ,Roderick Jaynes
2007,Film Editing,nominated,There Will Be Blood ,Dylan Tichenor
2007,Foreign Language Film,nominated,Beaufort ,Israel
2007,Foreign Language Film,won,The Counterfeiters ,Austria
2007,Foreign Language Film,nominated,Katyn ,Poland
2007,Foreign Language Film,nominated,Mongol ,Kazakhstan
2007,Foreign Language Film,nominated,12,Russia
2007,Makeup,won,La Vie en Rose ,Didier Lavergne and Jan Archibald
2007,Makeup,nominated,Norbit ,Rick Baker and Kazuhiro Tsuji
2007,Makeup,nominated,Pirates of the Caribbean: At World's End ,Ve Neill and Martin Samuel
2007,Music (Original Score),won,Atonement ,Dario Marianelli
2007,Music (Original Score),nominated,The Kite Runner ,Alberto Iglesias
2007,Music (Original Score),nominated,Michael Clayton ,James Newton Howard
2007,Music (Original Score),nominated,Ratatouille ,Michael Giacchino
2007,Music (Original Score),nominated,3:10 to Yuma ,Marco Beltrami
2007,Music (Original Song),won,"""Falling Slowly"" from Once",Music and Lyric by Glen Hansard and Marketa Irglova
2007,Music (Original Song),nominated,"""Happy Working Song"" from Enchanted",Music by Alan Menken; Lyric by Stephen Schwartz
2007,Music (Original Song),nominated,"""Raise It Up"" from August Rush","Music and Lyric by Jamal Joseph, Charles Mack and Tevin Thomas"
2007,Music (Original Song),nominated,"""So Close"" from Enchanted",Music by Alan Menken; Lyric by Stephen Schwartz
2007,Music (Original Song),nominated,"""That's How You Know"" from Enchanted",Music by Alan Menken; Lyric by Stephen Schwartz
2007,Best Picture,nominated,Atonement ,"Tim Bevan, Eric Fellner and Paul Webster, Producers"
2007,Best Picture,nominated,Juno ,"Lianne Halfon, Mason Novick and Russell Smith, Producers"
2007,Best Picture,nominated,Michael Clayton ,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers"
2007,Best Picture,won,No Country for Old Men ,"Scott Rudin, Ethan Coen and Joel Coen, Producers"
2007,Best Picture,nominated,There Will Be Blood ,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers"
2007,Short Film (Animated),nominated,I Met the Walrus ,Josh Raskin
2007,Short Film (Animated),nominated,Madame Tutli-Putli ,Chris Lavis and Maciek Szczerbowski
2007,Short Film (Animated),nominated,Même les Pigeons Vont au Paradis (Even Pigeons Go to Heaven) ,Samuel Tourneux and Simon Vanesse
2007,Short Film (Animated),nominated,My Love (Moya Lyubov) ,Alexander Petrov
2007,Short Film (Animated),won,Peter & the Wolf ,Suzie Templeton and Hugh Welchman
2007,Short Film (Live Action),nominated,At Night ,Christian E. Christiansen and Louise Vesth
2007,Short Film (Live Action),nominated,Il Supplente (The Substitute) ,Andrea Jublin
2007,Short Film (Live Action),won,Le Mozart des Pickpockets (The Mozart of Pickpockets) ,Philippe Pollet-Villard
2007,Short Film (Live Action),nominated,Tanghi Argentini ,Guido Thys and Anja Daelemans
2007,Short Film (Live Action),nominated,The Tonto Woman ,Daniel Barber and Matthew Brown
2007,Sound Editing,won,The Bourne Ultimatum ,Karen Baker Landers and Per Hallberg
2007,Sound Editing,nominated,No Country for Old Men ,Skip Lievsay
2007,Sound Editing,nominated,Ratatouille ,Randy Thom and Michael Silvers
2007,Sound Editing,nominated,There Will Be Blood ,Christopher Scarabosio and Matthew Wood
2007,Sound Editing,nominated,Transformers ,Ethan Van der Ryn and Mike Hopkins
2007,Sound Mixing,won,The Bourne Ultimatum ,"Scott Millan, David Parker and Kirk Francis"
2007,Sound Mixing,nominated,No Country for Old Men ,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter Kurland"
2007,Sound Mixing,nominated,Ratatouille ,"Randy Thom, Michael Semanick and Doc Kane"
2007,Sound Mixing,nominated,3:10 to Yuma ,"Paul Massey, David Giammarco and Jim Stuebe"
2007,Sound Mixing,nominated,Transformers ,"Kevin O'Connell, Greg P. Russell and Peter J. Devlin"
2007,Visual Effects,won,The Golden Compass ,"Michael Fink, Bill Westenhofer, Ben Morris and Trevor Wood"
2007,Visual Effects,nominated,Pirates of the Caribbean: At World's End ,"John Knoll, Hal Hickel, Charles Gibson and John Frazier"
2007,Visual Effects,nominated,Transformers ,"Scott Farrar, Scott Benza, Russell Earl and John Frazier"
2007,Writing (Adapted Screenplay),nominated,Atonement ,Screenplay by Christopher Hampton
2007,Writing (Adapted Screenplay),nominated,Away from Her ,Written by Sarah Polley
2007,Writing (Adapted Screenplay),nominated,The Diving Bell and the Butterfly ,Screenplay by Ronald Harwood
2007,Writing (Adapted Screenplay),won,No Country for Old Men ,Written for the screen by Joel Coen & Ethan Coen
2007,Writing (Adapted Screenplay),nominated,There Will Be Blood ,Written for the Screen by Paul Thomas Anderson
2007,Writing (Original Screenplay),won,Juno ,Written by Diablo Cody
2007,Writing (Original Screenplay),nominated,Lars and the Real Girl ,Written by Nancy Oliver
2007,Writing (Original Screenplay),nominated,Michael Clayton ,Written by Tony Gilroy
2007,Writing (Original Screenplay),nominated,Ratatouille ,"Screenplay by Brad Bird; Story by Jan Pinkava, Jim Capobianco, Brad Bird"
2007,Writing (Original Screenplay),nominated,The Savages ,Written by Tamara Jenkins
2007,Honorary Award,won,Robert Boyle,
2007,Gordon E. Sawyer Award,won,David A. Grafton,
2007,Award of Commendation,won,Jonathan Erland,
2007,John A. Bonner Medal of Commendation,won,David Inglish,
2008,Actor in a Leading Role,nominated,Richard Jenkins,The Visitor
2008,Actor in a Leading Role,nominated,Frank Langella,Frost/Nixon
2008,Actor in a Leading Role,won,Sean Penn,Milk
2008,Actor in a Leading Role,nominated,Brad Pitt,The Curious Case of Benjamin Button
2008,Actor in a Leading Role,nominated,Mickey Rourke,The Wrestler
2008,Actor in a Supporting Role,nominated,Josh Brolin,Milk
2008,Actor in a Supporting Role,nominated,Robert Downey Jr.,Tropic Thunder
2008,Actor in a Supporting Role,nominated,Philip Seymour Hoffman,Doubt
2008,Actor in a Supporting Role,won,Heath Ledger,The Dark Knight
2008,Actor in a Supporting Role,nominated,Michael Shannon,Revolutionary Road
2008,Actress in a Leading Role,nominated,Anne Hathaway,Rachel Getting Married
2008,Actress in a Leading Role,nominated,Angelina Jolie,Changeling
2008,Actress in a Leading Role,nominated,Melissa Leo,Frozen River
2008,Actress in a Leading Role,nominated,Meryl Streep,Doubt
2008,Actress in a Leading Role,won,Kate Winslet,The Reader
2008,Actress in a Supporting Role,nominated,Amy Adams,Doubt
2008,Actress in a Supporting Role,won,Penélope Cruz,Vicky Cristina Barcelona
2008,Actress in a Supporting Role,nominated,Viola Davis,Doubt
2008,Actress in a Supporting Role,nominated,Taraji P. Henson,The Curious Case of Benjamin Button
2008,Actress in a Supporting Role,nominated,Marisa Tomei,The Wrestler
2008,Animated Feature Film,nominated,Bolt ,Chris Williams and Byron Howard
2008,Animated Feature Film,nominated,Kung Fu Panda ,John Stevenson and Mark Osborne
2008,Animated Feature Film,won,WALL-E ,Andrew Stanton
2008,Art Direction,nominated,Changeling ,Art Direction: James J. Murakami; Set Decoration: Gary Fettis
2008,Art Direction,won,The Curious Case of Benjamin Button ,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo
2008,Art Direction,nominated,The Dark Knight ,Art Direction: Nathan Crowley; Set Decoration: Peter Lando
2008,Art Direction,nominated,The Duchess ,Art Direction: Michael Carlin; Set Decoration: Rebecca Alleway
2008,Art Direction,nominated,Revolutionary Road ,Art Direction: Kristi Zea; Set Decoration: Debra Schutt
2008,Cinematography,nominated,Changeling ,Tom Stern
2008,Cinematography,nominated,The Curious Case of Benjamin Button ,Claudio Miranda
2008,Cinematography,nominated,The Dark Knight ,Wally Pfister
2008,Cinematography,nominated,The Reader ,Chris Menges and Roger Deakins
2008,Cinematography,won,Slumdog Millionaire ,Anthony Dod Mantle
2008,Costume Design,nominated,Australia ,Catherine Martin
2008,Costume Design,nominated,The Curious Case of Benjamin Button ,Jacqueline West
2008,Costume Design,won,The Duchess ,Michael O'Connor
2008,Costume Design,nominated,Milk ,Danny Glicker
2008,Costume Design,nominated,Revolutionary Road ,Albert Wolsky
2008,Directing,nominated,The Curious Case of Benjamin Button ,David Fincher
2008,Directing,nominated,Frost/Nixon ,Ron Howard
2008,Directing,nominated,Milk ,Gus Van Sant
2008,Directing,nominated,The Reader ,Stephen Daldry
2008,Directing,won,Slumdog Millionaire ,Danny Boyle
2008,Documentary (Feature),nominated,The Betrayal (Nerakhoon) ,Ellen Kuras and Thavisouk Phrasavath
2008,Documentary (Feature),nominated,Encounters at the End of the World ,Werner Herzog and Henry Kaiser
2008,Documentary (Feature),nominated,The Garden ,Scott Hamilton Kennedy
2008,Documentary (Feature),won,Man on Wire ,James Marsh and Simon Chinn
2008,Documentary (Feature),nominated,Trouble the Water ,Tia Lessin and Carl Deal
2008,Documentary (Short Subject),nominated,The Conscience of Nhem En ,Steven Okazaki
2008,Documentary (Short Subject),nominated,The Final Inch ,Irene Taylor Brodsky and Tom Grant
2008,Documentary (Short Subject),won,Smile Pinki ,Megan Mylan
2008,Documentary (Short Subject),nominated,The Witness - From the Balcony of Room 306 ,Adam Pertofsky and Margaret Hyde
2008,Film Editing,nominated,The Curious Case of Benjamin Button ,Kirk Baxter and Angus Wall
2008,Film Editing,nominated,The Dark Knight ,Lee Smith
2008,Film Editing,nominated,Frost/Nixon ,Mike Hill and Dan Hanley
2008,Film Editing,nominated,Milk ,Elliot Graham
2008,Film Editing,won,Slumdog Millionaire ,Chris Dickens
2008,Foreign Language Film,nominated,The Baader Meinhof Complex ,Germany
2008,Foreign Language Film,nominated,The Class ,France
2008,Foreign Language Film,won,Departures ,Japan
2008,Foreign Language Film,nominated,Revanche ,Austria
2008,Foreign Language Film,nominated,Waltz with Bashir ,Israel
2008,Makeup,won,The Curious Case of Benjamin Button ,Greg Cannom
2008,Makeup,nominated,The Dark Knight ,"John Caglione, Jr. and Conor O'Sullivan"
2008,Makeup,nominated,Hellboy II: The Golden Army ,Mike Elizalde and Thom Floutz
2008,Music (Original Score),nominated,The Curious Case of Benjamin Button ,Alexandre Desplat
2008,Music (Original Score),nominated,Defiance ,James Newton Howard
2008,Music (Original Score),nominated,Milk ,Danny Elfman
2008,Music (Original Score),won,Slumdog Millionaire ,A.R. Rahman
2008,Music (Original Score),nominated,WALL-E ,Thomas Newman
2008,Music (Original Song),nominated,"""Down To Earth"" from WALL-E",Music by Peter Gabriel and Thomas Newman; Lyric by Peter Gabriel
2008,Music (Original Song),won,"""Jai Ho"" from Slumdog Millionaire",Music by A.R. Rahman; Lyric by Gulzar
2008,Music (Original Song),nominated,"""O Saya"" from Slumdog Millionaire",Music and Lyric by A.R. Rahman and Maya Arulpragasam
2008,Best Picture,nominated,The Curious Case of Benjamin Button ,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers"
2008,Best Picture,nominated,Frost/Nixon ,"Brian Grazer, Ron Howard and Eric Fellner, Producers"
2008,Best Picture,nominated,Milk ,"Dan Jinks and Bruce Cohen, Producers"
2008,Best Picture,nominated,The Reader ,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers"
2008,Best Picture,won,Slumdog Millionaire ,"Christian Colson, Producer"
2008,Short Film (Animated),won,La Maison en Petits Cubes ,Kunio Kato
2008,Short Film (Animated),nominated,Lavatory - Lovestory ,Konstantin Bronzit
2008,Short Film (Animated),nominated,Oktapodi ,Emud Mokhberi and Thierry Marchand
2008,Short Film (Animated),nominated,Presto ,Doug Sweetland
2008,Short Film (Animated),nominated,This Way Up ,Alan Smith and Adam Foulkes
2008,Short Film (Live Action),nominated,Auf der Strecke (On the Line) ,Reto Caffi
2008,Short Film (Live Action),nominated,Manon on the Asphalt ,Elizabeth Marre and Olivier Pont
2008,Short Film (Live Action),nominated,New Boy ,Steph Green and Tamara Anghie
2008,Short Film (Live Action),nominated,The Pig ,Tivi Magnusson and Dorte Høgh
2008,Short Film (Live Action),won,Spielzeugland (Toyland) ,Jochen Alexander Freydank
2008,Sound Editing,won,The Dark Knight ,Richard King
2008,Sound Editing,nominated,Iron Man ,Frank Eulner and Christopher Boyes
2008,Sound Editing,nominated,Slumdog Millionaire ,Glenn Freemantle and Tom Sayers
2008,Sound Editing,nominated,WALL-E ,Ben Burtt and Matthew Wood
2008,Sound Editing,nominated,Wanted ,Wylie Stateman
2008,Sound Mixing,nominated,The Curious Case of Benjamin Button ,"David Parker, Michael Semanick, Ren Klyce and Mark Weingarten"
2008,Sound Mixing,nominated,The Dark Knight ,"Lora Hirschberg, Gary Rizzo and Ed Novick"
2008,Sound Mixing,won,Slumdog Millionaire ,"Ian Tapp, Richard Pryke and Resul Pookutty"
2008,Sound Mixing,nominated,WALL-E ,"Tom Myers, Michael Semanick and Ben Burtt"
2008,Sound Mixing,nominated,Wanted ,"Chris Jenkins, Frank A. Montaño and Petr Forejt"
2008,Visual Effects,won,The Curious Case of Benjamin Button ,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron"
2008,Visual Effects,nominated,The Dark Knight ,"Nick Davis, Chris Corbould, Tim Webber and Paul Franklin"
2008,Visual Effects,nominated,Iron Man ,"John Nelson, Ben Snow, Dan Sudick and Shane Mahan"
2008,Writing (Adapted Screenplay),nominated,The Curious Case of Benjamin Button ,Screenplay by Eric Roth; Screen Story by Eric Roth and Robin Swicord
2008,Writing (Adapted Screenplay),nominated,Doubt ,Written by John Patrick Shanley
2008,Writing (Adapted Screenplay),nominated,Frost/Nixon ,Screenplay by Peter Morgan
2008,Writing (Adapted Screenplay),nominated,The Reader ,Screenplay by David Hare
2008,Writing (Adapted Screenplay),won,Slumdog Millionaire ,Screenplay by Simon Beaufoy
2008,Writing (Original Screenplay),nominated,Frozen River ,Written by Courtney Hunt
2008,Writing (Original Screenplay),nominated,Happy-Go-Lucky ,Written by Mike Leigh
2008,Writing (Original Screenplay),nominated,In Bruges ,Written by Martin McDonagh
2008,Writing (Original Screenplay),won,Milk ,Written by Dustin Lance Black
2008,Writing (Original Screenplay),nominated,WALL-E ,"Screenplay by Andrew Stanton, Jim Reardon; Original Story by Andrew Stanton, Pete Docter"
2008,Jean Hersholt Humanitarian Award,won,Jerry Lewis,
2008,Gordon E. Sawyer Award,won,Ed Catmull,
2008,John A. Bonner Medal of Commendation,won,Mark Kimball,
2009,Actor in a Leading Role,won,Jeff Bridges,Crazy Heart
2009,Actor in a Leading Role,nominated,George Clooney,Up in the Air
2009,Actor in a Leading Role,nominated,Colin Firth,A Single Man
2009,Actor in a Leading Role,nominated,Morgan Freeman,Invictus
2009,Actor in a Leading Role,nominated,Jeremy Renner,The Hurt Locker
2009,Actor in a Supporting Role,nominated,Matt Damon,Invictus
2009,Actor in a Supporting Role,nominated,Woody Harrelson,The Messenger
2009,Actor in a Supporting Role,nominated,Christopher Plummer,The Last Station
2009,Actor in a Supporting Role,nominated,Stanley Tucci,The Lovely Bones
2009,Actor in a Supporting Role,won,Christoph Waltz,Inglourious Basterds
2009,Actress in a Leading Role,won,Sandra Bullock,The Blind Side
2009,Actress in a Leading Role,nominated,Helen Mirren,The Last Station
2009,Actress in a Leading Role,nominated,Carey Mulligan,An Education
2009,Actress in a Leading Role,nominated,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire
2009,Actress in a Leading Role,nominated,Meryl Streep,Julie & Julia
2009,Actress in a Supporting Role,nominated,Penélope Cruz,Nine
2009,Actress in a Supporting Role,nominated,Vera Farmiga,Up in the Air
2009,Actress in a Supporting Role,nominated,Maggie Gyllenhaal,Crazy Heart
2009,Actress in a Supporting Role,nominated,Anna Kendrick,Up in the Air
2009,Actress in a Supporting Role,won,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire
2009,Animated Feature Film,nominated,Coraline ,Henry Selick
2009,Animated Feature Film,nominated,Fantastic Mr. Fox ,Wes Anderson
2009,Animated Feature Film,nominated,The Princess and the Frog ,John Musker and Ron Clements
2009,Animated Feature Film,nominated,The Secret of Kells ,Tomm Moore
2009,Animated Feature Film,won,Up ,Pete Docter
2009,Art Direction,won,Avatar ,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair
2009,Art Direction,nominated,The Imaginarium of Doctor Parnassus ,Production Design: Dave Warren and Anastasia Masaro; Set Decoration: Caroline Smith
2009,Art Direction,nominated,Nine ,Production Design: John Myhre; Set Decoration: Gordon Sim
2009,Art Direction,nominated,Sherlock Holmes ,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer
2009,Art Direction,nominated,The Young Victoria ,Production Design: Patrice Vermette; Set Decoration: Maggie Gray
2009,Cinematography,won,Avatar ,Mauro Fiore
2009,Cinematography,nominated,Harry Potter and the Half-Blood Prince ,Bruno Delbonnel
2009,Cinematography,nominated,The Hurt Locker ,Barry Ackroyd
2009,Cinematography,nominated,Inglourious Basterds ,Robert Richardson
2009,Cinematography,nominated,The White Ribbon ,Christian Berger
2009,Costume Design,nominated,Bright Star ,Janet Patterson
2009,Costume Design,nominated,Coco before Chanel ,Catherine Leterrier
2009,Costume Design,nominated,The Imaginarium of Doctor Parnassus ,Monique Prudhomme
2009,Costume Design,nominated,Nine ,Colleen Atwood
2009,Costume Design,won,The Young Victoria ,Sandy Powell
2009,Directing,nominated,Avatar ,James Cameron
2009,Directing,won,The Hurt Locker ,Kathryn Bigelow
2009,Directing,nominated,Inglourious Basterds ,Quentin Tarantino
2009,Directing,nominated,Precious: Based on the Novel 'Push' by Sapphire ,Lee Daniels
2009,Directing,nominated,Up in the Air ,Jason Reitman
2009,Documentary (Feature),nominated,Burma VJ ,Anders Østergaard and Lise Lense-Møller
2009,Documentary (Feature),won,The Cove ,Louie Psihoyos and Fisher Stevens
2009,Documentary (Feature),nominated,"Food, Inc. ",Robert Kenner and Elise Pearlstein
2009,Documentary (Feature),nominated,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers ,Judith Ehrlich and Rick Goldsmith
2009,Documentary (Feature),nominated,Which Way Home ,Rebecca Cammisa
2009,Documentary (Short Subject),nominated,China's Unnatural Disaster: The Tears of Sichuan Province ,Jon Alpert and Matthew O'Neill
2009,Documentary (Short Subject),nominated,The Last Campaign of Governor Booth Gardner ,Daniel Junge and Henry Ansbacher
2009,Documentary (Short Subject),nominated,The Last Truck: Closing of a GM Plant ,Steven Bognar and Julia Reichert
2009,Documentary (Short Subject),won,Music by Prudence ,Roger Ross Williams and Elinor Burkett
2009,Documentary (Short Subject),nominated,Rabbit à la Berlin ,Bartek Konopka and Anna Wydra
2009,Film Editing,nominated,Avatar ,"Stephen Rivkin, John Refoua and James Cameron"
2009,Film Editing,nominated,District 9 ,Julian Clarke
2009,Film Editing,won,The Hurt Locker ,Bob Murawski and Chris Innis
2009,Film Editing,nominated,Inglourious Basterds ,Sally Menke
2009,Film Editing,nominated,Precious: Based on the Novel 'Push' by Sapphire ,Joe Klotz
2009,Foreign Language Film,nominated,Ajami ,Israel
2009,Foreign Language Film,nominated,The Milk of Sorrow ,Peru
2009,Foreign Language Film,nominated,A Prophet ,France
2009,Foreign Language Film,won,The Secret in Their Eyes ,Argentina
2009,Foreign Language Film,nominated,The White Ribbon ,Germany
2009,Makeup,nominated,Il Divo ,Aldo Signoretti and Vittorio Sodano
2009,Makeup,won,Star Trek ,"Barney Burman, Mindy Hall and Joel Harlow"
2009,Makeup,nominated,The Young Victoria ,Jon Henry Gordon and Jenny Shircore
2009,Music (Original Score),nominated,Avatar ,James Horner
2009,Music (Original Score),nominated,Fantastic Mr. Fox ,Alexandre Desplat
2009,Music (Original Score),nominated,The Hurt Locker ,Marco Beltrami and Buck Sanders
2009,Music (Original Score),nominated,Sherlock Holmes ,Hans Zimmer
2009,Music (Original Score),won,Up ,Michael Giacchino
2009,Music (Original Song),nominated,"""Almost There"" from The Princess and the Frog",Music and Lyric by Randy Newman
2009,Music (Original Song),nominated,"""Down In New Orleans"" from The Princess and the Frog",Music and Lyric by Randy Newman
2009,Music (Original Song),nominated,"""Loin De Paname"" from Paris 36",Music by Reinhardt Wagner; Lyric by Frank Thomas
2009,Music (Original Song),nominated,"""Take It All"" from Nine",Music and Lyric by Maury Yeston
2009,Music (Original Song),won,"""The Weary Kind (Theme From Crazy Heart)"" from Crazy Heart",Music and Lyric by Ryan Bingham and T Bone Burnett
2009,Best Picture,nominated,Avatar ,"James Cameron and Jon Landau, Producers"
2009,Best Picture,nominated,The Blind Side ,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers"
2009,Best Picture,nominated,District 9 ,"Peter Jackson and Carolynne Cunningham, Producers"
2009,Best Picture,nominated,An Education ,"Finola Dwyer and Amanda Posey, Producers"
2009,Best Picture,won,The Hurt Locker ,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers"
2009,Best Picture,nominated,Inglourious Basterds ,"Lawrence Bender, Producer"
2009,Best Picture,nominated,Precious: Based on the Novel 'Push' by Sapphire ,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers"
2009,Best Picture,nominated,A Serious Man ,"Joel Coen and Ethan Coen, Producers"
2009,Best Picture,nominated,Up ,"Jonas Rivera, Producer"
2009,Best Picture,nominated,Up in the Air ,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers"
2009,Short Film (Animated),nominated,French Roast ,Fabrice O. Joubert
2009,Short Film (Animated),nominated,Granny O'Grimm's Sleeping Beauty ,Nicky Phelan and Darragh O'Connell
2009,Short Film (Animated),nominated,The Lady and the Reaper (La Dama y la Muerte) ,Javier Recio Gracia
2009,Short Film (Animated),won,Logorama ,Nicolas Schmerkin
2009,Short Film (Animated),nominated,A Matter of Loaf and Death ,Nick Park
2009,Short Film (Live Action),nominated,The Door ,Juanita Wilson and James Flynn
2009,Short Film (Live Action),nominated,Instead of Abracadabra ,Patrik Eklund and Mathias Fjellström
2009,Short Film (Live Action),nominated,Kavi ,Gregg Helvey
2009,Short Film (Live Action),nominated,Miracle Fish ,Luke Doolan and Drew Bailey
2009,Short Film (Live Action),won,The New Tenants ,Joachim Back and Tivi Magnusson
2009,Sound Editing,nominated,Avatar ,Christopher Boyes and Gwendolyn Yates Whittle
2009,Sound Editing,won,The Hurt Locker ,Paul N.J. Ottosson
2009,Sound Editing,nominated,Inglourious Basterds ,Wylie Stateman
2009,Sound Editing,nominated,Star Trek ,Mark Stoeckinger and Alan Rankin
2009,Sound Editing,nominated,Up ,Michael Silvers and Tom Myers
2009,Sound Mixing,nominated,Avatar ,"Christopher Boyes, Gary Summers, Andy Nelson and Tony Johnson"
2009,Sound Mixing,won,The Hurt Locker ,Paul N.J. Ottosson and Ray Beckett
2009,Sound Mixing,nominated,Inglourious Basterds ,"Michael Minkler, Tony Lamberti and Mark Ulano"
2009,Sound Mixing,nominated,Star Trek ,"Anna Behlmer, Andy Nelson and Peter J. Devlin"
2009,Sound Mixing,nominated,Transformers: Revenge of the Fallen ,"Greg P. Russell, Gary Summers and Geoffrey Patterson"
2009,Visual Effects,won,Avatar ,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones"
2009,Visual Effects,nominated,District 9 ,"Dan Kaufman, Peter Muyzers, Robert Habros and Matt Aitken"
2009,Visual Effects,nominated,Star Trek ,"Roger Guyett, Russell Earl, Paul Kavanagh and Burt Dalton"
2009,Writing (Adapted Screenplay),nominated,District 9 ,Written by Neill Blomkamp and Terri Tatchell
2009,Writing (Adapted Screenplay),nominated,An Education ,Screenplay by Nick Hornby
2009,Writing (Adapted Screenplay),nominated,In the Loop ,"Screenplay by Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche"
2009,Writing (Adapted Screenplay),won,Precious: Based on the Novel 'Push' by Sapphire ,Screenplay by Geoffrey Fletcher
2009,Writing (Adapted Screenplay),nominated,Up in the Air ,Screenplay by Jason Reitman and Sheldon Turner
2009,Writing (Original Screenplay),won,The Hurt Locker ,Written by Mark Boal
2009,Writing (Original Screenplay),nominated,Inglourious Basterds ,Written by Quentin Tarantino
2009,Writing (Original Screenplay),nominated,The Messenger ,Written by Alessandro Camon & Oren Moverman
2009,Writing (Original Screenplay),nominated,A Serious Man ,Written by Joel Coen & Ethan Coen
2009,Writing (Original Screenplay),nominated,Up ,"Screenplay by Bob Peterson, Pete Docter; Story by Pete Docter, Bob Peterson, Tom McCarthy"
2009,Honorary Award,won,Lauren Bacall,
2009,Honorary Award,won,Roger Corman,
2009,Honorary Award,won,Gordon Willis,
2009,Irving G. Thalberg Memorial Award,won,John Calley,
2010,Actor in a Leading Role,nominated,Javier Bardem,Biutiful
2010,Actor in a Leading Role,nominated,Jeff Bridges,True Grit
2010,Actor in a Leading Role,nominated,Jesse Eisenberg,The Social Network
2010,Actor in a Leading Role,won,Colin Firth,The King's Speech
2010,Actor in a Leading Role,nominated,James Franco,127 Hours
2010,Actor in a Supporting Role,won,Christian Bale,The Fighter
2010,Actor in a Supporting Role,nominated,John Hawkes,Winter's Bone
2010,Actor in a Supporting Role,nominated,Jeremy Renner,The Town
2010,Actor in a Supporting Role,nominated,Mark Ruffalo,The Kids Are All Right
2010,Actor in a Supporting Role,nominated,Geoffrey Rush,The King's Speech
2010,Actress in a Leading Role,nominated,Annette Bening,The Kids Are All Right
2010,Actress in a Leading Role,nominated,Nicole Kidman,Rabbit Hole
2010,Actress in a Leading Role,nominated,Jennifer Lawrence,Winter's Bone
2010,Actress in a Leading Role,won,Natalie Portman,Black Swan
2010,Actress in a Leading Role,nominated,Michelle Williams,Blue Valentine
2010,Actress in a Supporting Role,nominated,Amy Adams,The Fighter
2010,Actress in a Supporting Role,nominated,Helena Bonham Carter,The King's Speech
2010,Actress in a Supporting Role,won,Melissa Leo,The Fighter
2010,Actress in a Supporting Role,nominated,Hailee Steinfeld,True Grit
2010,Actress in a Supporting Role,nominated,Jacki Weaver,Animal Kingdom
2010,Animated Feature Film,nominated,How to Train Your Dragon ,Chris Sanders and Dean DeBlois
2010,Animated Feature Film,nominated,The Illusionist ,Sylvain Chomet
2010,Animated Feature Film,won,Toy Story 3 ,Lee Unkrich
2010,Art Direction,won,Alice in Wonderland ,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara
2010,Art Direction,nominated,Harry Potter and the Deathly Hallows Part 1 ,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan
2010,Art Direction,nominated,Inception ,Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat
2010,Art Direction,nominated,The King's Speech ,Production Design: Eve Stewart; Set Decoration: Judy Farr
2010,Art Direction,nominated,True Grit ,Production Design: Jess Gonchor; Set Decoration: Nancy Haigh
2010,Cinematography,nominated,Black Swan ,Matthew Libatique
2010,Cinematography,won,Inception ,Wally Pfister
2010,Cinematography,nominated,The King's Speech ,Danny Cohen
2010,Cinematography,nominated,The Social Network ,Jeff Cronenweth
2010,Cinematography,nominated,True Grit ,Roger Deakins
2010,Costume Design,won,Alice in Wonderland ,Colleen Atwood
2010,Costume Design,nominated,I Am Love ,Antonella Cannarozzi
2010,Costume Design,nominated,The King's Speech ,Jenny Beavan
2010,Costume Design,nominated,The Tempest ,Sandy Powell
2010,Costume Design,nominated,True Grit ,Mary Zophres
