Year,Award,Winning,Name,Film
1932/1933,Actress,nominated,May Robson,Lady for a Day
1932/1933,Actress,nominated,Diana Wynyard,Cavalcade
1932/1933,Art Direction,won,Cavalcade ,William S. Darling
1932/1933,Art Direction,nominated,A Farewell to Arms ,"Hans Dreier, Roland Anderson [Second]"
1932/1933,Art Direction,nominated,When Ladies Meet ,Cedric Gibbons [Third]
1932/1933,Assistant Director,nominated,Percy Ikerd (Fox),
1932/1933,Assistant Director,won,William Tummel (Fox),
1932/1933,Assistant Director,won,Charles Dorian (Metro-Goldwyn-Mayer),
1932/1933,Assistant Director,nominated,Bunny Dull (Metro-Goldwyn-Mayer),
1932/1933,Assistant Director,nominated,John S. Waters (Metro-Goldwyn-Mayer),
1932/1933,Assistant Director,won,Charles Barton (Paramount),
1932/1933,Assistant Director,nominated,Sidney S. Brod (Paramount),
1932/1933,Assistant Director,nominated,Arthur Jacobson (Paramount),
1932/1933,Assistant Director,nominated,Eddie Killey (RKO Radio),
1932/1933,Assistant Director,won,Dewey Starkey (RKO Radio),
1932/1933,Assistant Director,won,Fred Fox (United Artists),
1932/1933,Assistant Director,nominated,Benjamin Silvey (United Artists),
1932/1933,Assistant Director,won,Scott Beal (Universal),
1932/1933,Assistant Director,nominated,Joe McDonough (Universal),
1932/1933,Assistant Director,nominated,W. J. Reiter (Universal),
1932/1933,Assistant Director,nominated,Al Alborn (Warner Brothers),
1932/1933,Assistant Director,won,Gordon Hollingshead (Warner Brothers),
1932/1933,Assistant Director,nominated,Frank X. Shaw (Warner Brothers),
1932/1933,Cinematography,won,A Farewell to Arms ,"Charles Bryant Lang, Jr."
1932/1933,Cinematography,nominated,Reunion in Vienna ,George J. Folsey [Second]
1932/1933,Cinematography,nominated,The Sign of the Cross ,Karl Struss [Third]
1932/1933,Directing,won,Cavalcade ,Frank Lloyd
1932/1933,Directing,nominated,Lady for a Day ,Frank Capra [Second]
1932/1933,Directing,nominated,Little Women ,George Cukor [Third]
1932/1933,Outstanding Production,won,Cavalcade ,Fox
1932/1933,Outstanding Production,nominated,A Farewell to Arms ,Paramount [Second]
1932/1933,Outstanding Production,nominated,42nd Street ,Warner Brothers
1932/1933,Outstanding Production,nominated,I Am a Fugitive from a Chain Gang ,Warner Brothers
1932/1933,Outstanding Production,nominated,Lady for a Day ,Columbia
1932/1933,Outstanding Production,nominated,Little Women ,RKO Radio [Third]
1932/1933,Outstanding Production,nominated,The Private Life of Henry VIII ,London Films
1932/1933,Outstanding Production,nominated,She Done Him Wrong ,Paramount
1932/1933,Outstanding Production,nominated,Smilin' Through ,Metro-Goldwyn-Mayer
1932/1933,Outstanding Production,nominated,State Fair ,Fox
1932/1933,Short Subject (Cartoon),nominated,Building a Building ,"Walt Disney, Producer [Second]"
1932/1933,Short Subject (Cartoon),nominated,The Merry Old Soul ,"Walter Lantz, Producer [Third]"
1932/1933,Short Subject (Cartoon),won,The Three Little Pigs ,"Walt Disney, Producer"
1932/1933,Short Subject (Comedy),nominated,Mister Mugg ,"Warren Doane, Producer [Third]"
1932/1933,Short Subject (Comedy),nominated,A Preferred List ,"Louis Brock, Producer [Second]"
1932/1933,Short Subject (Comedy),won,So This Is Harris ,"Louis Brock, Producer"
1932/1933,Short Subject (Novelty),won,Krakatoa ,"Joe Rock, Producer"
1932/1933,Short Subject (Novelty),nominated,Menu ,"Pete Smith, Producer [tied for 2nd]"
1932/1933,Short Subject (Novelty),nominated,The Sea ,Educational [tied for 2nd]
1932/1933,Sound Recording,won,A Farewell to Arms ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1932/1933,Sound Recording,nominated,42nd Street ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1932/1933,Sound Recording,nominated,Gold Diggers of 1933 ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]"
1932/1933,Sound Recording,nominated,I Am a Fugitive from a Chain Gang ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1932/1933,Writing (Adaptation),nominated,Lady for a Day ,Robert Riskin [Second]
1932/1933,Writing (Adaptation),won,Little Women ,"Victor Heerman, Sarah Y. Mason"
1932/1933,Writing (Adaptation),nominated,State Fair ,"Paul Green, Sonya Levien [Third]"
1932/1933,Writing (Original Story),won,One Way Passage ,Robert Lord
1932/1933,Writing (Original Story),nominated,The Prizefighter and the Lady ,Frances Marion [Second]
1932/1933,Writing (Original Story),nominated,Rasputin and the Empress ,Charles MacArthur [Third]
1934,Actor,won,Clark Gable,It Happened One Night
1934,Actor,nominated,Frank Morgan,The Affairs of Cellini
1934,Actor,nominated,William Powell,The Thin Man
1934,Actress,won,Claudette Colbert,It Happened One Night
1934,Actress,nominated,Bette Davis,Of Human Bondage
1934,Actress,nominated,Grace Moore,One Night of Love
1934,Actress,nominated,Norma Shearer,The Barretts of Wimpole Street
1934,Art Direction,nominated,The Affairs of Cellini ,Richard Day [Third]
1934,Art Direction,nominated,The Gay Divorcee ,"Van Nest Polglase, Carroll Clark [Second]"
1934,Art Direction,won,The Merry Widow ,"Cedric Gibbons, Fredric Hope"
1934,Assistant Director,nominated,Cleopatra ,Cullen Tate [Second]
1934,Assistant Director,nominated,Imitation of Life ,Scott Beal [Third]
1934,Assistant Director,won,Viva Villa! ,John Waters
1934,Cinematography,nominated,The Affairs of Cellini ,Charles Rosher [Third]
1934,Cinematography,won,Cleopatra ,Victor Milner
1934,Cinematography,nominated,Operator 13 ,George Folsey [Second]
1934,Directing,won,It Happened One Night ,Frank Capra
1934,Directing,nominated,One Night of Love ,Victor Schertzinger [Third]
1934,Directing,nominated,The Thin Man ,W. S. Van Dyke [Second]
1934,Film Editing,nominated,Cleopatra ,Anne Bauchens [Third]
1934,Film Editing,won,Eskimo ,Conrad Nervig
1934,Film Editing,nominated,One Night of Love ,Gene Milford [Second]
1934,Music (Scoring),nominated,The Gay Divorcee ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]"
1934,Music (Scoring),nominated,The Lost Patrol ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]"
1934,Music (Scoring),won,One Night of Love ,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
1934,Music (Song),nominated,"""Carioca"" from Flying Down to Rio",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third]
1934,Music (Song),won,"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson
1934,Music (Song),nominated,"""Love In Bloom"" from She Loves Me Not",Music by Ralph Rainger; Lyrics by Leo Robin [Second]
1934,Outstanding Production,nominated,The Barretts of Wimpole Street ,Metro-Goldwyn-Mayer [Second]
1934,Outstanding Production,nominated,Cleopatra ,Paramount
1934,Outstanding Production,nominated,Flirtation Walk ,First National
1934,Outstanding Production,nominated,The Gay Divorcee ,RKO Radio
1934,Outstanding Production,nominated,Here Comes the Navy ,Warner Brothers
1934,Outstanding Production,nominated,The House of Rothschild ,20th Century [Third]
1934,Outstanding Production,nominated,Imitation of Life ,Universal
1934,Outstanding Production,won,It Happened One Night ,Columbia
1934,Outstanding Production,nominated,One Night of Love ,Columbia
1934,Outstanding Production,nominated,The Thin Man ,Metro-Goldwyn-Mayer
1934,Outstanding Production,nominated,Viva Villa! ,Metro-Goldwyn-Mayer
1934,Outstanding Production,nominated,The White Parade ,Jesse L. Lasky (production company)
1934,Short Subject (Cartoon),nominated,Holiday Land ,"Charles Mintz, Producer [Third]"
1934,Short Subject (Cartoon),nominated,Jolly Little Elves ,"Walter Lantz, Producer [Second]"
1934,Short Subject (Cartoon),won,The Tortoise and the Hare ,"Walt Disney, Producer"
1934,Short Subject (Comedy),won,La Cucaracha ,"Kenneth Macgowan, Producer"
1934,Short Subject (Comedy),nominated,Men in Black ,"Jules White, Producer [Third]"
1934,Short Subject (Comedy),nominated,"What, No Men! ",Warner Brothers [Second]
1934,Short Subject (Novelty),nominated,Bosom Friends ,Skibo Productions [Third]
1934,Short Subject (Novelty),won,City of Wax ,"Stacy Woodard and Horace Woodard, Producers"
1934,Short Subject (Novelty),nominated,Strikes and Spares ,"Pete Smith, Producer [Second]"
1934,Sound Recording,nominated,The Affairs of Cellini ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1934,Sound Recording,nominated,Cleopatra ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1934,Sound Recording,nominated,Flirtation Walk ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
