Role	name	year	nominations	rating	duration	genre1	genre2	release	metacritic	synopsis
Actor	 Going My Way	1944	10	7.3	126	Comedy	Drama	October		Youthful Father Chuck OMalley led a colorful life of sports song and romance before joining the Roman Catholic clergy but his level gaze and twinkling eyes make it clear that he knows ...                See full summary »
Actor	 Watch on the Rhine	1943	4	7.4	114	Drama		August		Sara and Kurt Muller and their three children are returning to her mothers home in Washington DC after 18 years in Europe. A Romanian Count living there discovers Kurts attache case full ...                See full summary »
Actor	 Yankee Doodle Dandy	1942	8	7.8	126	Biography	Drama	June		A film of the life of the renowned musical composer playwright actor dancer and singer George M. Cohan.
Actor	 Sergeant York	1941	11	7.8	134	Biography	Drama	September		A hillbilly sharpshooter drafted in WW1 despite his claim to be a pacifist who ends up becoming a war hero.
Actor	 The Philadelphia Story	1940	6	8.1	112	Comedy	Romance	December		When a rich womans ex-husband and a tabloid-type reporter turn up just before her planned remarriage she begins to learn the truth about herself.
Actor	 Goodbye Mr. Chips	1939	7	7.7	114	Drama	Romance	July		An aged teacher and former headmaster of a boarding school recalls his career and his personal life over the decades.
Actor	 Boys Town	1938	5	7.3	96	Biography	Drama	September		"Against all odds Father Flanagan starts ""Boys Town"" after hearing a convicts story. Whitey Marsh comes there. He runs away but hungry returns. He runs away again but when friend Pee ...                See full summary »"
Actor	 Captains Courageous	1937	4	8	117	Adventure	Drama	June		Harvey Cheyne is a spoiled brat used to having his own way. When a prank goes wrong onboard an ocean liner Harvey ends up overboard and nearly drowns. Fortunately hes picked up by a ...                See full summary »
Actor	 The Story of Louis Pasteur	1936	4	7.4	86	Biography	Drama	February		The biography of the pioneering French microbiologist who helped revolutionize agriculture and medicine.
Actor	 The Informer	1935	6	7.6	91	Drama		July		In 1922 an Irish rebel informs on his friend then feels doom closing in.
Actor	 It Happened One Night	1934	5	8.2	105	Comedy	Romance	February		A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
Actor	 The Private Life of Henry VIII	1933	2	7.3	97	Biography	Comedy	August		Tells how King Henry VIII came to marry five more times after his divorce from his first wife.
Actor	 The Champ	1931	4	7.3	86	Drama	Family	November		"Dink Purcell loves his alcoholic father ex-heavyweight champion Andy ""Champ"" Purcell despite his frequent binges his frequent gambling and their squalid living conditions. And theres ...                See full summary »"
Actor	 A Free Soul	1930	3	6.7	93	Crime	Drama	June		An alcoholic lawyer who successfully defended a notorious gambler on a murder charge objects when his free-spirited daughter becomes romantically involved with him.
Actor	 Disraeli	1929	3	6.5	90	Biography	Drama	November		Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.
Actor	 In Old Arizona	1928	5	5.8	95	Romance	Western	January		A charming happy-go-lucky bandit in old Arizona plays cat-and-mouse with the sheriff trying to catch him while he romances a local beauty.
Actor	 The Last Command	1927	2	8	88	Drama	History	April		A former Imperial Russian general and cousin of the Czar ends up in Hollywood as an extra in a movie directed by a former revolutionary.
Actress	 Still Alice	2014		7.5	101	Drama		February	72	A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimers Disease.
Actress	 Blue Jasmine	2013	3	7.3	98	Drama		August	78	A New York socialite deeply troubled and in denial arrives in San Francisco to impose upon her sister. She looks a million but isnt bringing money peace or love...
Actress	 Silver Linings Playbook	2012	8	7.8	122	Comedy	Drama	November	81	After a stint in a mental institution former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany a mysterious girl with problems of her own.
